"Calu3_mock3" "Calu3_mock2" "Calu3_mock1" "Calu3_SARSCoV2_3" "Calu3_SARSCoV2_2" "Calu3_SARSCoV2_1" "SRR1942929" "SRR1942934" "SRR1942956" "SRR1942957" "SRR1942960" "SRR1942961" "SRR1942989" "SRR1942990"
"ENSG00000010803.16" 122 236 548 251 152 278 766 946 277 282 770 536 384 342
"ENSG00000010810.17" 282 555 1293 598 343 703 1367 1784 518 523 1287 1052 565 614
"ENSG00000010818.10" 167 172 623 1810 898 1961 1704 2224 3410 3622 1541 1294 3534 3733
"ENSG00000010932.17" 0 0 0 0 0 0 0 0 1 0 0 2 1 1
"ENSG00000011007.12" 318 638 1496 769 441 857 1787 2120 917 957 1589 1226 1028 1118
"ENSG00000011009.11" 664 1574 3073 965 497 1092 2262 2192 719 640 2091 1517 518 567
"ENSG00000011021.23" 109 163 459 187 88 201 777 897 638 604 702 599 487 584
"ENSG00000011028.14" 83 159 424 165 78 178 100 105 37 52 100 66 7 5
"ENSG00000011052.21" 20 50 173 3 16 48 290 322 29 27 292 215 17 26
"ENSG00000011083.9" 0 0 2 9 1 9 4 0 1 1 1 2 0 3
"ENSG00000011105.14" 147 268 633 281 143 318 507 542 174 142 519 348 62 58
"ENSG00000011114.15" 205 251 974 741 386 690 2277 2997 1658 1587 2149 1722 1371 1388
"ENSG00000011132.12" 78 230 425 164 92 213 325 268 150 180 271 219 75 115
"ENSG00000011143.17" 54 104 235 96 48 92 279 313 65 75 232 174 102 92
"ENSG00000011198.10" 212 273 675 296 131 247 1126 1437 475 469 1112 816 398 486
"ENSG00000011201.12" 0 5 19 8 5 4 9 11 8 3 15 7 1 6
"ENSG00000011243.18" 375 718 1365 987 572 1146 1416 1533 1443 1382 1280 1041 718 788
"ENSG00000011258.16" 319 262 935 533 338 491 3058 3945 1381 1295 2806 2254 842 890
"ENSG00000011260.14" 720 1144 2572 1206 724 1157 4161 5120 1429 1303 3790 2889 1140 1134
"ENSG00000011275.18" 379 656 1717 1102 592 1182 2302 2635 1334 1296 2131 1651 1085 1172
"ENSG00000011295.16" 351 617 1409 568 348 554 2183 2844 657 647 2077 1542 951 944
"ENSG00000011304.20" 2333 4351 10321 3783 1832 4179 11629 12437 4148 4095 10481 8085 2249 2590
