Calu3_mock3	Calu3_mock2	Calu3_mock1	Calu3_SARSCoV2_3	Calu3_SARSCoV2_2	Calu3_SARSCoV2_1
HERV3_11q13.3	6	4	18	107	59	85
HERV3_11q14.1	0	0	1	0	0	0
HERV3_14q24.2	0	0	1	0	0	1
HERV3_19p12e	2	0	1	0	0	1
HERV3_19q13.33	0	0	0	0	0	0
HERV3_19q13.42a	0	0	3	0	0	4
HERV3_19q13.42b	4	4	20	18	7	12
HERV3_19q13.42c	1	1	4	3	2	3
HERV3_19q13.42d	0	0	2	2	2	3
HERV3_1p34.3	0	1	1	0	0	0
HERV3_3q13.2	0	0	0	0	0	0
HERV3_3q21.3	0	0	2	1	1	1
HERV3_4p16.1	1	1	9	7	11	15
HERV3_6p12.2	0	0	0	0	0	0
HERV3_7q11.21	25	18	70	34	14	18
HERV3_7q33	32	58	199	219	143	287
HERV3_7q34a	2	1	10	6	1	5
HERV3_7q34c	0	0	3	0	0	1
HERV3_8q11.23	7	22	34	47	21	45
HERV3_Un_GL000224v1	0	0	0	0	0	0
HERV3_Un_KI270741v1	0	0	0	0	0	0
HERV3_Xq26.3	0	1	0	1	0	0
HERV3_Yp11.2a	0	0	0	0	0	0
HERV30_11q14.1	0	0	0	0	0	0
HERV30_11q14.2	0	0	2	1	0	0
HERV30_13q21.31	0	0	0	0	0	0
HERV30_14q21.2	0	0	0	0	0	0
HERV30_19p13.11	0	0	1	1	0	1
HERV30_3p12.2	0	0	0	0	0	0
HERV30_3q25.2	0	0	0	1	0	0
HERV30_5q11.2	0	0	0	0	0	0
HERV4_11q21	0	2	2	1	1	1
HERV4_13q32.3	20	32	81	63	41	55
HERV4_15q21.3	0	0	0	0	0	2
HERV4_17p13.1	0	0	0	0	2	0
HERV4_19q13.41	12	13	38	31	9	19
HERV4_19q13.43a	11	12	64	23	8	27
HERV4_19q13.43b	9	4	17	20	9	15
HERV4_1q22b	36	72	121	52	35	73
HERV4_20q13.33b	2	1	1	2	7	3
HERV4_2q31.1	0	0	0	0	0	0
HERV4_4p16.3	0	0	0	1	0	0
HERV4_4q12	2	1	0	1	0	5
HERV4_4q22.1	13	44	75	160	87	158
HERV4_5q14.1b	0	0	2	2	1	2
HERV9_10p11.21	0	0	0	0	0	0
HERV9_10p12.31	0	0	0	0	0	0
HERV9_10p13	0	3	0	0	0	1
HERV9_10q21.1a	0	0	0	0	0	0
HERV9_10q21.1b	3	0	1	4	2	5
HERV9_10q21.3	0	0	0	0	0	0
HERV9_10q23.33	2	0	4	3	4	2
HERV9_11p12	0	0	0	0	0	0
HERV9_11q14.1	0	0	0	0	0	0
HERV9_11q21	0	0	0	1	0	3
HERV9_11q22.1b	0	0	0	0	1	0
HERV9_11q22.3	6	10	5	24	11	20
HERV9_12p12.3	0	0	0	0	0	0
HERV9_12q14.1	0	0	0	0	0	0
HERV9_12q21.31	0	0	0	0	0	0
HERV9_12q21.33	0	0	0	0	0	0
HERV9_12q22a	0	1	0	0	0	0
HERV9_12q22b	0	0	0	0	0	0
HERV9_12q23.3	0	0	0	0	0	0
HERV9_12q24.32	0	0	0	0	0	0
HERV9_12q24.33a	0	0	0	0	0	0
HERV9_12q24.33b	0	0	0	0	0	0
HERV9_13q21.31	0	0	0	0	0	0
HERV9_13q31.2	0	0	0	0	0	0
HERV9_13q33.3	0	0	0	0	0	0
HERV9_13q34	0	0	0	0	0	0
HERV9_14q21.3	0	0	0	0	0	0
HERV9_15q21.1a	0	0	0	0	0	0
HERV9_15q21.1b	0	0	0	0	0	0
HERV9_15q21.1c	0	0	0	0	0	0
HERV9_15q26.1	0	0	0	1	0	0
HERV9_16q21	0	0	0	4	0	0
HERV9_17q11.2a	0	0	0	0	0	0
